Train | episode  48300 | loss: 0.395 | acc: 0.500
Train | episode  48400 | loss: 0.542 | acc: 0.500
Train | episode  48500 | loss: 0.386 | acc: 0.625
Train | episode  48600 | loss: 0.221 | acc: 0.875
Train | episode  48700 | loss: 0.358 | acc: 0.500
Train | episode  48800 | loss: 0.304 | acc: 0.875
Train | episode  48900 | loss: 0.334 | acc: 0.750
Train | episode  49000 | loss: 0.535 | acc: 0.688
Train | episode  49100 | loss: 0.500 | acc: 0.438
Train | episode  49200 | loss: 0.344 | acc: 0.688
Train | episode  49300 | loss: 0.716 | acc: 0.625
Train | episode  49400 | loss: 0.294 | acc: 0.688
Train | episode  49500 | loss: 0.428 | acc: 0.375
Train | episode  49600 | loss: 0.552 | acc: 0.500
Train | episode  49700 | loss: 0.831 | acc: 0.625
Train | episode  49800 | loss: 0.539 | acc: 0.500
Train | episode  49900 | loss: 1.066 | acc: 0.438
Train | episode  50000 | loss: 0.257 | acc: 0.688
Train | episode  50100 | loss: 0.508 | acc: 0.562
Train | episode  50200 | loss: 0.361 | acc: 0.812
Train | episode  50300 | loss: 0.241 | acc: 0.812
Train | episode  50400 | loss: 0.294 | acc: 0.625
Train | episode  50500 | loss: 0.306 | acc: 0.500
Train | episode  50600 | loss: 0.218 | acc: 0.812
Train | episode  50700 | loss: 0.312 | acc: 0.688
Train | episode  50800 | loss: 0.568 | acc: 0.562
Train | episode  50900 | loss: 0.232 | acc: 0.625
Train | episode  51000 | loss: 0.307 | acc: 0.750
Train | episode  51100 | loss: 0.310 | acc: 0.750
Train | episode  51200 | loss: 0.334 | acc: 0.625
Train | episode  51300 | loss: 0.197 | acc: 0.875
Train | episode  51400 | loss: 0.256 | acc: 0.500
Train | episode  51500 | loss: 0.473 | acc: 0.562
Train | episode  51600 | loss: 0.644 | acc: 0.625
Train | episode  51700 | loss: 0.822 | acc: 0.375
